ability block access
ability choose different
ability create add
ability customize results
ability edit users
ability execute basic
ability librarian addedit
ability remove user
able accept input
able access module
able add filters
able alter priority
able apply corrections
able apply normalizations
able apply user
able avoid tackle
able capture store
able communicate users
able create channel
able disconnect channel
able display several
able easily download
able export audit
able hack users
able handle explicit
able handle lag
able handle large
able handle rebroadcasting
able initiate processing
able initiate reboot
able intelligently choose
able interact user
able make time
able operate functionality
able perform fourier
able perform simple
able perform windowing
able perform withou
able present content
able provide reports
able rebroadcast stream
able rectify small
able register browse
able request meeting
able resized user
able retrieve display
able see modify
able select channel
able select multiple
able show traffic
able signal kill
able sit idle
able stream lot
able stream viewers
able stream whats
able sum frequency
able use ppcast
able view channels
abnormal conditions processor
abstracted users browser
abstracted webrtc api
abstracts webcam andor
accept input output
acceptable opening download
acceptable opening times
acceptable user eg
accepting aggregate data
access administrator shall
access aspects system
access case denied
access cases activities
access cases must
access cases specified
access constraints proper
access control mechanisms
access correspondences files
access database admin
access level needed
access mobile app
access mobile application
access mobile w
access module based
access parts system
access paths alternative
access paths navigating
access paths navigation
access properties administrator
access properties defines
access realtime database
access relevant information
access restricted controlled
access rights security
access searches case
access service broadcast
access speeds accomplish
access system applicable
access system attempts
access system logged
access system must
access system users
access uc module
access violations validly
access web browser
access website name
accessed pages pages
accessed within previous
accessibility iso shall
accessibility software accessible
accessibility system processing
accessible achieved authorised
accessible maintenance repair
accessible places user
accessible users offline
accessible users within
accommodate change users
accommodate evolving data
accommodate high number
accommodate much entralized
accommodated lower priority
accompanied explanatory text
accomplish processing tasks
accomplish standard defined
accomplish using responsive
according hisher requirement
according policies stated
according screen size
according states requirements
account constraints expressed
account created login
account expected display
account human capabilities
account status showing
account users tasks
accountability includes allowing
accounts admin members
accounts including email
accumulate computation error
accumulate data transfer
accumulation error statistics
accuracythe meetings monitored
accurate library management
accurately especially meeting
achieved authorised external
achieved functionality operable
achieving goals like
achieving selfdescriptiveness given
acknowledge receipt data
across processing manipulation
act administrator maintain
act client database
act middle man
act sections state
acted upon users
action date time
action remedy lessen
action result status
action taken alert
action types user
actions cases organised
actions closing unwanted
actions createreadupdatedelete taken
actions initiated automatically
actions opening new
actions scenarios user
actions sorting list
actions taken either
actions taken users
actions user take
activated system must
activating controls links
activation controls variety
active sessions shall
activities involving cases
activities leisure time
actor able access
actor customer assumption
actor customer client
actor customer package
acts conduit information
acts interface police
actual meeting extensibility
adaptability peers attempt
adaptability product must
adaptable sense displays
adaptation adapting content
adaptation also important
adaptation evident made
adapting content navigation
adapting content profile
adapting users goals
add edit remove
add filters broadcast
add new user
add properties watch
add remove select
add remove update
added exclusion set
added later channel
added participants preferences
added preference set
addedit delete category
addition designing multimedia
addition keeping data
additional user actions
additional windows new
additionally page contain
addremove users add
address changes error
address participant reached
address postal codes
address security issues
addresses address changes
addresses correlator network
addresses google verify
addresses personallyidentifiable information
adequate response times
adjustable parameters fixed
adjustment shall able
adjustments required observational
admin access database
admin analysis system
admin delete authority
admin member cross
admin members member
admin provides certain
admin rights update
admin use functionality
administrative parameters word
administrator functions easy
administrator includes updating
administrator maintain system
administrator modules provided
administrator operate system
administrator see manage
administrator shall ability
administrator shall unrestricted
administrators actions initiated
administrators protected privacy
administrators system knowledge
admins creating project
adminusers set user
admissibility assist data
adopting method requires
advanced search cases
advanced search multiple
advanced search system
advantage service provided
advise customer item
affect data processing
affecting audit trail
afterward messages passed
agent appropriate means
aggregate data input
aids interfacing providing
aips measurement set
aips measurement sets
alerts pending tasks
allocate users groups
allocation management made
allow activation controls
allow admin use
allow adminusers set
allow cases cases
allow changes security
allow customer track
allow librarian addremove
allow persistent defaults
allow rapid retrieval
allow user limit
allow user member
allow user stipulate
allow users customise
allow users post
allow users search
allow users see
allow users view
allowed post free
allowing core signaling
allowing deployment many
allowing member see
allowing price comparisons
allowing users see
allows communication two
allows privileges granted
allows user view
allows users make
along entire extent
along mysql database
also appear include
also appear product
also application user
also click product
also encryption data
also focuses ice
also gives user
also important making
also includes button
also need stored
also option searching
also outside application
also plays key
also provide progress
also provides x
also require additional
also required critical
also set date
also system flexible
also use system
also verify validity
alter priority shall
alter priority tasks
alternate course applicable
alternate course none
alternative access paths
alternative equivalent textual
alternative textonly page
alternative textonly pages
alternative way presenting
alternatively user provided
alternatives framebased presentation
always connection another
always recoverable output
among dates preference
among made via
among using standard
amount budget budget
amount budget user
amount interest unit
amount previous number
amount spent per
amount tbd correlator
amount tbd delay
amount tbd memory
amount time duration
analyse system activity
analysis system shall
andor adaptation used
andor equivalent textbased
andor frames turned
andor microphone complexities
andor parameter changes
andor quantizer power
andor reconfiguration software
android studio software
android version minimum
android version use
another channel view
another peer begin
another peer network
answers according hisher
answers user search
anyone channel name
anything captures implements
anything except personal
apache http secure
apache server http
api application program
api cross referencing
api designed mind
api specifically mediastream
api specifically rtcpeerconnection
app fireb ase
app name product
app w access
appear include product
appear product users
appear similar product
apple macbook pros
applicable condition applicable
applicable frequency medium
applicable grant user
applicable post condition
applicable time stamp
application also outside
application available use
application browser interface
application configuration configuration
application configured according
application data performing
application develop based
application domain conflict
application domain experience
application filter product
application focused providing
application landk page
application logo available
application must compatible
application name text
application need connection
application pages designed
application pages general
application program interface
application realtime firebase
application server apache
application server ldap
application server support
application showing structure
application state user
application track thereafter
application user friendly
application user interfaces
applications processing flags
applied convolution time
applied coordinates etc
apply corrections based
apply normalizations based
apply pages preferable
apply user selected
approach interaction information
approach without worrying
approaches used achieving
appropriate cases dealing
appropriate content presentation
appropriate formats units
appropriate homepages navigation
appropriate interface guidelines
appropriate means ie
appropriate network address
appropriate page lengths
appropriate terminology specific
appropriate users want
appropriately acted upon
arate accounts admin
arate availability user
arate navigation overview
aration interface business
archive data requirements
arise due disk
arise recirculation used
arising processing hardware
around could give
ase retrieve data
asks user type
aspects system authority
aspects system user
assemble complete lag
assemble received input
assembly shall assemble
assigned alerts pending
assigning fine members
assist data recovery
associated content consistency
associated password scheme
assume broadcast potentially
assume video stream
assumed basic knowledge
assumption applicable frequency
assumption none frequency
assure communication connections
assure needed processors
assure started tasks
attacks possible instance
attempt make sure
attempt modify bandwidth
attempted attempted violations
attempted detected resolved
attempted violations access
attempts access case
attempts access cases
attempts access system
attempts issue number
attempts shall done
attend shall added
attributed component system
attributes adaptability peers
attributes availability system
attributes correctness product
attributes groups users
attributes multiple admins
attributes userfriendliness performance
audit trail capable
audit trail data
audit trail ensure
audit trail functionality
audit trail information
audit trail long
audit trail record
audit trail stored
audit trails specified
auditors wish examine
authenticate authorize user
authentication access realtime
authentication provided one
authentication registration used
authentication validation members
authentication via ldap
authorised external personnel
authority grant revoke
authority irrelevant questions
authorize user access
authorized user able
authorized users expected
auto recovery ie
auto saving information
autocorrection backend system
automated spam bots
automatic connection broadcaster
automatically capturing storing
automatically different peer
automatically system result
automatically taking action
automating tasks take
auxiliary data form
availability source code
availability system run
availability user access
available inspection request
available pages link
available provides ability
available use server
available within certain
average noise level
avoid illegal rules
avoid possible problems
avoid tackle disastrous
avoided unless provide
avoided wherever possible
avoiding generic labels
avoiding link overload
avoiding loss delay
avoiding opening unnecessary
aware constraints stated
awareness planning process
back button bookking
back end ajax
back end database
back home page
back wait answers
backend internal networks
backend network interface
backend physical processor
backend physical processors
backend process alter
backend processor stop
backend system must
backend system needs
backend system shall
backend technology used
backend tofrom monitor
background color used
backup database lost
backup disk buffering
backup disk storage
backup recovery forgot
band rfi mitigation
bandwidth application user
bandwidth requirements face
bandwidth using industrystandard
bar shows visualize
barbara dollars month
barcode deduct amount
barcode fast soon
barcode scan identifier
barcode show details
barcode show price
barcode take fully
based basic system
based behaviour users
based certain criteria
based different criteria
based evidence facts
based hisher general
based input user
based landing pages
based reported data
based role system
based state count
baseline performance function
basic advanced search
basic knowledge computers
basic system requirement
becomes large rapid
begin broadcasting hardware
begin streaming within
begin within seconds
behavior requirements use
behaviour adapting users
behaviour observed recommending
behaviour user register
behaviour users user
behind feature would
better execute greater
beyond must also
big data execution
block access system
blocked users active
blocks information displayed
book entering book
book issuedreturned particular
book looking title
bookking pages scrolling
books available provides
books exceed limit
books users without
boot backend technology
bootstrap design guidelines
bootstrap jqueryajax html
bootstrap offers standardized
bootstrap react js
bootstrap websockets special
bots posting site
bottlenecked browser implementations
bound fixed determination
branch still stored
breach information users
broadcast content user
broadcast potentially recorded
broadcast service done
broadcast view broadcasts
broadcaster either internal
broadcaster happen immediately
broadcaster want able
broadcaster want go
broadcaster want service
broadcaster would like
broadcasters assume video
broadcasters shall know
broadcasters viewers software
broadcasting hardware interfaces
broadcasting live assume
broadcasts point view
broadcasts via website
browse list channels
browse watch list
browser implementations webrtc
browser name budget
browser operating system
browser windows popup
budget actor customer
budget budget tracker
budget goal allow
budget tracker access
budget tracker assumption
budget tracker identifier
budget tracker set
budget tracker use
budget tracker user
budget user wanted
buffer backup disk
buffer lag frames
buffer locations input
buffer overflow conditions
buffer plus backup
buffer processing parameters
buffer track buffer
bulleted lists highlighted
business logic code
business policies practices
business policy make
business rule anything
business rules business
button bookking pages
button opposed horizontal
button scan barcode
button search show
button user edit
button user wants
buttons important users
cache predetermined amount
cached data unavailable
call product recommended
call referencing github
calls add remove
camera broadcasting live
camera facility users
camera permission post
cameras broadcast simultaneously
campuses university interacts
cancel meeting external
cancelled geographical disaster
cannot attend shall
cannot changes project
cannot edit modify
cannot identified given
cannot modified way
capabilities restrictions perceiving
capability system shall
capable accepting aggregate
capable automatically capturing
capable delivering output
capable detecting reporting
capable flagging king
capacity number cases
captcha image limit
captcha images ensure
captchabased authentication registration
capture store violations
captures implements business
capturing storing information
care ensure system
care frames used
care taken avoid
care taking account
carried distributed manner
carrying action date
case accessed within
case denied access
case diagram budget
case diagram product
case diagram search
case information indicate
case none extended
case power supply
case right access
case suspect property
case title metadata
case user chronological
case view broadcaster
cases activities involving
cases assigned alerts
cases cases used
cases count search
cases dealing matters
cases integral part
cases must log
cases organised case
cases organised workstation
cases pages usually
cases related documents
cases specified users
cases suspects simultaneously
cases understanding frequency
cases used infrequently
cases without affecting
castes tribes property
catastrophes maintain system
catch software requirements
categories books available
categories using one
categories view categories
categories view shows
categorywise statuswise age
cause undue interruption
cctns acts conduit
cctns aids interfacing
cctns application focused
cctns facilitates investigation
cctns gives police
cctns helps keep
cctns provides role
certain colors color
certain criteria define
certain distance santa
certain facilities users
certain high priority
certain input mode
certain piece content
certain time due
certificate product information
chainable output fourier
chainable output time
change color scheme
change contain randomized
change destination ip
change exclusion set
change location planning
change preference set
change profiles userspecified
change simply shrinks
change users preference
changed cancelled geographical
changed meeting datelocation
changes constraints sdms
changes error warning
changes external inputs
changes menu contents
changes owner superket
changes project open
changes security attributes
changes user optional
changing network conditions
channel broadcaster happen
channel concept overlay
channel happen quickly
channel list descriptions
channel mockup view
channel name begin
channel name communications
channel page peer
channel see stream
channel select another
channel toolslibraries messagedata
channel used support
channel view whenever
channels normal operation
channels signaling mechanism
channels users broadcasting
channels without constraining
characteristics spatial arrangement
characterized different restrictions
chat broadcasters viewers
chat function hpresentationrelated
check backend internal
check backend physical
check pids assure
check prevent duplicate
check product approve
check resolution policies
checking receive errors
chief performance system
choose different input
choose notified email
choose notified text
choose peers able
choose use real
chooses whenever action
chrome user computer
chunks presentation content
citizen interface citizen
citizen interface module
citizens eases approach
citizens etc monitoring
citizens little turnaround
citizens police cut
citizens police unitspersonnel
citizens register complaints
citizens use tool
clear aration interface
clear context page
clear error messages
clear links bulleted
clear sufficient indication
clearly distinguishable controls
clearly distinguishable links
clearly state reason
click except purpose
click product figure
click product image
click scan barcode
client database server
client mobile device
client package uc
client server communication
clientside serverside portability
closing unwanted windows
cloud essentially receives
coarse quantization correction
code command line
code hosts isolated
code os important
codes designed usable
coding android studio
cognitively difficult understand
college town parties
color never means
color scheme website
color used way
colors color combinations
colour colour used
colour means conveying
colour used care
colours fonts font
columns table move
combination numbers processors
combine finished spectra
command dialogues iso
command line call
common look feel
commonly performed functions
commonly understood semantics
communicate among using
communicate message participant
communicate peers within
communicate request replies
communicate users channel
communicated interfaces accordingly
communication actions opening
communication among made
communication channel toolslibraries
communication channel used
communication connections intact
communication interface interacting
communication interfaces abstracted
communication originates human
communication reliable communicate
communication two peers
communications disruptions software
communications failures external
communications interfaces client
communications interfaces communication
communications interfaces main
communications interfaces site
communications peers encrypted
commute work even
compare tolerances report
comparing prices different
comparison comparing prices
comparison tolerances reporting
comparison tool useful
comparisons different units
comparisons many different
compatibility software compatible
compatible aips measurement
compatible android version
compatible multiple platforms
compatible specialist software
compiles code hosts
complaint initiated police
complaints police based
complete lag sets
complete requested operations
completed small number
complextocomplex fast fourier
comply standard iso
component content shown
component process processor
component shows figure
component system workstation
components consistently navigation
components content navigation
components overviews shown
components placed consistently
components start process
computation error statistics
computational error rates
computational performance minimum
compute errors shall
compute performance shall
computer client mobile
computer desktop computer
computer enough power
computer screen video
computer use make
computers internet browsing
concentrate android version
concept overlay ppcasts
concerned participants varying
conction associated content
condition actor able
condition applicable post
condition camera permission
condition customer get
condition customer need
condition none including
conditions data invalid
conditions input data
conditions lowbandwidth connections
conditions monitor compute
conditions monitor processes
conditions occur data
conditions processing management
conditions processor hardware
conditions relating error
conditions time series
conditions warrant debugtest
conduit information exchange
configuration configuration module
configuration information act
configuration module cctns
configuration time display
configurations must saved
configured according states
conflict change exclusion
conflict change location
conflict conflict change
conflict resolution check
conflict resolution shall
confuse impede users
connect peers adopting
connect peers using
connecting two peers
connection another peer
connection internet successful
connection navigation different
connection prevent session
connection software requirements
connection user latest
connections attempted detected
connections intact functioning
connections mobile channel
connectivity physical failure
considered meeting date
considered user unable
consist server computer
consistency navigation component
consistency navigation components
consistent layout schemes
consistent location different
consistent page layout
consistent set user
consistently navigation components
consistently page titles
consistently pages framesets
constable police station
constantly interfaces courts
constraining bandwidth peer
constraint expressed participant
constraints expressed meeting
constraints proper user
constraints replanning meeting
constraints required application
constraints sdms shall
constraints shall considered
constraints stated participants
construct specifications req
constructed chainable output
consulted screen text
contact individual property
contain general footer
contain information necessary
contain link leading
contain randomized temporary
containing large proportions
containing newer technologies
contains valid data
content accessibility wcag
content change simply
content consistency navigation
content containing newer
content easy understand
content elements page
content error messages
content feedback application
content form acceptable
content items form
content minimized long
content navigation components
content navigation differently
content navigation user
content offered support
content presentation also
content profile currently
content respect spelling
content screen supported
content shown maintained
content switch larger
content usable future
content user would
content without interruptions
contents layout screens
contents remain unchanged
context page labels
context performing search
contexts use eg
contextsensitive help material
continuous time series
control functionality within
control panel allow
control panel control
control system shall
control system tools
control user access
controlled observational mode
controlled parts system
controls activating action
controls links fields
controls navigation links
controls variety input
converted output aips
convolution time domain
coordinates etc error
copying removable media
core signaling functions
correction shall able
correction time stamp
corrections based state
correctly ordered contains
correctness product implement
correctness rental listings
correlated recent use
correlator backend network
correlator data first
correlator data valid
correlator ee communications
correlator ee shall
correlator lag values
correlator mode changes
correlator network general
correlator output parameters
correlator rate manageable
correlator system shall
correspondences files records
corrupted data segments
cost project discount
could degrade stre
could done via
could full content
could give ideas
could make cognitively
could strict downscale
count andor quantizer
count data produced
count search results
count shall keep
counts coarse quantization
counts quantizer power
course applicable condition
course none condition
courts prosecution cases
cpu total processor
crashed certain time
crashed stopped unresponsive
crashes computational performance
crashes power failures
create add new
create changes system
create channel stream
create log messages
create update viewing
created login asks
created updated deleted
createreadupdatedelete taken upon
creating new channel
creating project right
crime modus operandi
criteria within seconds
critical data complete
critical data obtained
critical data operations
critical entities case
critical increased useracceptance
critical locations system
cross referencing entered
cross rules regulations
css bootstrap jqueryajax
css bootstrap react
css design downscale
currency designing user
currency units measurement
current evla observational
current implementation concentrate
