word,index,binary
coarse,301,00110111011
code,302,00110111001
codes,303,00110111000
coding,304,00110101000
cognitively,305,00110101001
college,306,00110101011
color,307,00110101010
colors,308,00110101110
colour,309,00110101111
colours,310,00110101101
columns,311,00110101100
combination,312,00110100100
combinations,313,00110100101
combine,314,00110100111
coming,315,00110100110
command,316,00110100010
common,317,00110100011
commonly,318,00110100001
communicate,319,00110100000
communicated,320,00111100000
communication,321,00111100001
communications,322,00111100011
commute,323,00111100010
compare,324,00111100110
comparing,325,00111100111
comparison,326,00111100101
comparisons,327,00111100100
compatibility,328,00111101100
compatible,329,00111101101
compiles,330,00111101111
complainants,331,00111101110
complaint,332,00111101010
complaints,333,00111101011
complete,334,00111101001
completed,335,00111101000
complexities,336,00111111000
complextocomplex,337,00111111001
comply,338,00111111011
component,339,00111111010
components,340,00111111110
compression,341,00111111111
computation,342,00111111101
computational,343,00111111100
compute,344,00111110100
computer,345,00111110101
computers,346,00111110111
computing,347,00111110110
concentrate,348,00111110010
concept,349,00111110011
concerned,350,00111110001
conction,351,00111110000
condition,352,00111010000
conditions,353,00111010001
conduit,354,00111010011
configuration,355,00111010010
configurations,356,00111010110
configured,357,00111010111
conflict,358,00111010101
confuse,359,00111010100
connect,360,00111011100
connecting,361,00111011101
connection,362,00111011111
connections,363,00111011110
connectivity,364,00111011010
consideration,365,00111011011
considered,366,00111011001
consist,367,00111011000
consistency,368,00111001000
consistent,369,00111001001
consistently,370,00111001011
constable,371,00111001010
constantly,372,00111001110
constraining,373,00111001111
constraint,374,00111001101
constraints,375,00111001100
construct,376,00111000100
constructed,377,00111000101
consulted,378,00111000111
contact,379,00111000110
contain,380,00111000010
containing,381,00111000011
contains,382,00111000001
content,383,00111000000
contents,384,00101000000
context,385,00101000001
contexts,386,00101000011
contextsensitive,387,00101000010
continuous,388,00101000110
control,389,00101000111
controlled,390,00101000101
controls,391,00101000100
convenience,392,00101001100
converted,393,00101001101
conveying,394,00101001111
convolution,395,00101001110
coordinates,396,00101001010
copying,397,00101001011
core,398,00101001001
correction,399,00101001000
corrections,400,00101011000
correctly,401,00101011001
correctn,402,00101011011
correctness,403,00101011010
correlated,404,00101011110
correlator,405,00101011111
correspondences,406,00101011101
corrupted,407,00101011100
cost,408,00101010100
could,409,00101010101
count,410,00101010111
counterpart,411,00101010110
counts,412,00101010010
course,413,00101010011
court,414,00101010001
courts,415,00101010000
cpan,416,00101110000
cpu,417,00101110001
crashed,418,00101110011
crashes,419,00101110010
create,420,00101110110
created,421,00101110111
createreadupdatedelete,422,00101110101
creating,423,00101110100
crime,424,00101111100
criminalaccused,425,00101111101
criteria,426,00101111111
critical,427,00101111110
cross,428,00101111010
css,429,00101111011
currency,430,00101111001
current,431,00101111000
currently,432,00101101000
customer,433,00101101001
customers,434,00101101011
customisation,435,00101101010
customise,436,00101101110
customizable,437,00101101111
customize,438,00101101101
customizing,439,00101101100
cut,440,00101100100
cutting,441,00101100101
damaged,442,00101100111
dashed,443,00101100110
dat,444,00101100010
data,445,00101100011
database,446,00101100001
databases,447,00101100000
datathis,448,00100100000
date,449,00100100001
datelocation,450,00100100011
dates,451,00100100010
day,452,00100100110
dealing,453,00100100111
debugtest,454,00100100101
deduct,455,00100100100
defaults,456,00100101100
defect,457,00100101101
defects,458,00100101111
define,459,00100101110
defined,460,00100101010
defines,461,00100101011
defunct,462,00100101001
degrade,463,00100101000
delay,464,00100111000
delete,465,00100111001
deleted,466,00100111011
deliver,467,00100111010
delivering,468,00100111110
delivery,469,00100111111
demand,470,00100111101
denial,471,00100111100
denied,472,00100110100
department,473,00100110101
dependencies,474,00100110111
deployment,475,00100110110
deploys,476,00100110010
derived,477,00100110011
describe,478,00100110001
described,479,00100110000
describes,480,00100010000
description,481,00100010001
descriptions,482,00100010011
descriptive,483,00100010010
design,484,00100010110
designated,485,00100010111
designed,486,00100010101
designing,487,00100010100
desirable,488,00100011100
desktop,489,00100011101
desktops,490,00100011111
destination,491,00100011110
detailed,492,00100011010
detailing,493,00100011011
details,494,00100011001
detected,495,00100011000
detecting,496,00100001000
detection,497,00100001001
determination,498,00100001011
determining,499,00100001010
develop,500,00100001110
development,501,00100001111
device,502,00100001101
devices,503,00100001100
diagram,504,00100000100
dialogues,505,00100000101
different,506,00100000111
differently,507,00100000110
difficult,508,00100000010
difficulties,509,00100000011
direct,510,00100000001
directly,511,00100000000
disabilities,512,01100000000
disaster,513,01100000001
disastrous,514,01100000011
disconnect,515,01100000010
disconnections,516,01100000110
discount,517,01100000111
disk,518,01100000101
dispersed,519,01100000100
display,520,01100001100
displayed,521,01100001101
displays,522,01100001111
disruptions,523,01100001110
distance,524,01100001010
distances,525,01100001011
distancing,526,01100001001
distinguishable,527,01100001000
distinguishing,528,01100011000
distract,529,01100011001
distributed,530,01100011011
districts,531,01100011010
diverse,532,01100011110
division,533,01100011111
document,534,01100011101
documentation,535,01100011100
documents,536,01100010100
dollars,537,01100010101
domain,538,01100010111
done,539,01100010110
download,540,01100010010
downscale,541,01100010011
downtime,542,01100010001
draw,543,01100010000
drive,544,01100110000
dropdown,545,01100110001
drudgery,546,01100110011
dtls,547,01100110010
dtlssrtp,548,01100110110
due,549,01100110111
duplicate,550,01100110101
durability,551,01100110100
duration,552,01100111100
dynamic,553,01100111101
dynamically,554,01100111111
eases,555,01100111110
easily,556,01100111010
easing,557,01100111011
easy,558,01100111001
edge,559,01100111000
edit,560,01100101000
edited,561,01100101001
educate,562,01100101011
ee,563,01100101010
effect,564,01100101110
effectively,565,01100101111
effectiveness,566,01100101101
effects,567,01100101100
efficiencies,568,01100100100
efficiency,569,01100100101
efficient,570,01100100111
effort,571,01100100110
eg,572,01100100010
either,573,01100100011
elapsed,574,01100100001
elements,575,01100100000
elementsrules,576,01101100000
email,577,01101100001
emails,578,01101100011
embedded,579,01101100010
employ,580,01101100110
employees,581,01101100111
employs,582,01101100101
enable,583,01101100100
enabling,584,01101101100
enclosures,585,01101101101
encompasses,586,01101101111
encounter,587,01101101110
encounters,588,01101101010
encrypted,589,01101101011
encryption,590,01101101001
end,591,01101101000
enforce,592,01101111000
enforced,593,01101111001
engineering,594,01101111011
enhancement,595,01101111010
enough,596,01101111110
ensure,597,01101111111
enter,598,01101111101
entered,599,01101111100
entering,600,01101110100
entire,601,01101110101
entities,602,01101110111
entralized,603,01101110110
entries,604,01101110010
entry,605,01101110011
environments,606,01101110001
equipped,607,01101110000
equivalent,608,01101010000
equivalents,609,01101010001
error,610,01101010011
errors,611,01101010010
especially,612,01101010110
essentially,613,01101010111
essys,614,01101010101
etc,615,01101010100
ethically,616,01101011100
even,617,01101011101
event,618,01101011111
events,619,01101011110
every,620,01101011010
evidence,621,01101011011
evident,622,01101011001
evla,623,01101011000
evolving,624,01101001000
ex,625,01101001001
examine,626,01101001011
example,627,01101001010
exceed,628,01101001110
except,629,01101001111
exchange,630,01101001101
exchanged,631,01101001100
exclusion,632,01101000100
execute,633,01101000101
execution,634,01101000111
existence,635,01101000110
existing,636,01101000010
expect,637,01101000011
expectation,638,01101000001
expectations,639,01101000000
expected,640,01111000000
experience,641,01111000001
explanatory,642,01111000011
explicit,643,01111000010
exploration,644,01111000110
export,645,01111000111
expressed,646,01111000101
extended,647,01111000100
extensibility,648,01111001100
extent,649,01111001101
external,650,01111001111
externally,651,01111001110
face,652,01111001010
facilitates,653,01111001011
facilities,654,01111001001
facility,655,01111001000
facts,656,01111011000
fails,657,01111011001
failure,658,01111011011
failures,659,01111011010
familiar,660,01111011110
familiarity,661,01111011111
fast,662,01111011101
fault,663,01111011100
feature,664,01111010100
features,665,01111010101
feedback,666,01111010111
feel,667,01111010110
fidelity,668,01111010010
fields,669,01111010011
figure,670,01111010001
file,671,01111010000
files,672,01111110000
fill,673,01111110001
filled,674,01111110011
filter,675,01111110010
filters,676,01111110110
final,677,01111110111
finally,678,01111110101
find,679,01111110100
finding,680,01111111100
fine,681,01111111101
finished,682,01111111111
fireb,683,01111111110
firebase,684,01111111010
firefox,685,01111111011
first,686,01111111001
fit,687,01111111000
fixed,688,01111101000
flag,689,01111101001
flagging,690,01111101011
flags,691,01111101010
flexibility,692,01111101110
flexible,693,01111101111
focused,694,01111101101
focuses,695,01111101100
follow,696,01111100100
following,697,01111100101
font,698,01111100111
fonts,699,01111100110
footage,700,01111100010
footer,701,01111100011
forgot,702,01111100001
form,703,01111100000
format,704,01110100000
formats,705,01110100001
formatted,706,01110100011
formatting,707,01110100010
formdata,708,01110100110
forms,709,01110100111
forum,710,01110100101
forward,711,01110100100
foul,712,01110101100
found,713,01110101101
fourier,714,01110101111
frame,715,01110101110
framebased,716,01110101010
frames,717,01110101011
framesets,718,01110101001
framework,719,01110101000
free,720,01110111000
freeway,721,01110111001
frequencies,722,01110111011
frequency,723,01110111010
frequently,724,01110111110
frequentlyexecuted,725,01110111111
frequentlyused,726,01110111101
friendliness,727,01110111100
friendly,728,01110110100
friends,729,01110110101
front,730,01110110111
frontend,731,01110110110
frontfacing,732,01110110010
full,733,01110110011
fully,734,01110110001
function,735,01110110000
functional,736,01110010000
functionalities,737,01110010001
functionality,738,01110010011
functionally,739,01110010010
functioning,740,01110010110
functions,741,01110010111
furthermore,742,01110010101
future,743,01110010100
general,744,01110011100
generally,745,01110011101
generate,746,01110011111
generated,747,01110011110
generic,748,01110011010
geographical,749,01110011011
get,750,01110011001
github,751,01110011000
give,752,01110001000
given,753,01110001001
gives,754,01110001011
go,755,01110001010
goal,756,01110001110
goals,757,01110001111
going,758,01110001101
good,759,01110001100
google,760,01110000100
gracefully,761,01110000101
gram,762,01110000111
grant,763,01110000110
granted,764,01110000010
graphical,765,01110000011
greater,766,01110000001
group,767,01110000000
grouped,768,01010000000
groups,769,01010000001
guarantee,770,01010000011
gui,771,01010000010
guidance,772,01010000110
guide,773,01010000111
guidelines,774,01010000101
hack,775,01010000100
halal,776,01010001100
halting,777,01010001101
hand,778,01010001111
handle,779,01010001110
handled,780,01010001010
handling,781,01010001011
hangs,782,01010001001
happen,783,01010001000
hardware,784,01010011000
header,785,01010011001
headings,786,01010011011
help,787,01010011010
helpdesk,788,01010011110
helping,789,01010011111
helps,790,01010011101
hence,791,01010011100
heroku,792,01010010100
hides,793,01010010101
hiding,794,01010010111
high,795,01010010110
highlighted,796,01010010010
hijacking,797,01010010011
hisher,798,01010010001
hit,799,01010010000
home,800,01010110000
homepage,801,01010110001
homepages,802,01010110011
hooking,803,01010110010
hooks,804,01010110110
horizontal,805,01010110111
hosts,806,01010110101
hours,807,01010110100
house,808,01010111100
houses,809,01010111101
housingu,810,01010111111
however,811,01010111110
hpresentationrelated,812,01010111010
html,813,01010111011
http,814,01010111001
https,815,01010111000
human,816,01010101000
ice,817,01010101001
ict,818,01010101011
id,819,01010101010
idea,820,01010101110
ideally,821,01010101111
ideas,822,01010101101
identificationg,823,01010101100
identified,824,01010100100
identifier,825,01010100101
identify,826,01010100111
identity,827,01010100110
idle,828,01010100010
ids,829,01010100011
ie,830,01010100001
illegal,831,01010100000
image,832,01011100000
images,833,01011100001
immediately,834,01011100011
impact,835,01011100010
impair,836,01011100110
impede,837,01011100111
impeded,838,01011100101
implement,839,01011100100
implementation,840,01011101100
implementations,841,01011101101
implemented,842,01011101111
implements,843,01011101110
implications,844,01011101010
implies,845,01011101011
important,846,01011101001
impose,847,01011101000
improves,848,01011111000
inbuilt,849,01011111001
incidents,850,01011111011
include,851,01011111010
included,852,01011111110
includes,853,01011111111
including,854,01011111101
incoming,855,01011111100
incorrectly,856,01011110100
increase,857,01011110101
increased,858,01011110111
increasing,859,01011110110
independence,860,01011110010
independently,861,01011110011
indicate,862,01011110001
indicated,863,01011110000
indicating,864,01011010000
indication,865,01011010001
individual,866,01011010011
individualization,867,01011010010
individualizing,868,01011010110
industry,869,01011010111
industrystandard,870,01011010101
infer,871,01011010100
inferred,872,01011011100
infinities,873,01011011101
information,874,01011011111
infrequently,875,01011011110
infs,876,01011011010
ingredients,877,01011011011
initial,878,01011011001
initiate,879,01011011000
initiated,880,01011001000
initiates,881,01011001001
initiating,882,01011001011
initiator,883,01011001010
inline,884,01011001110
input,885,01011001111
inputs,886,01011001101
inside,887,01011001100
inspection,888,01011000100
install,889,01011000101
instance,890,01011000111
instantly,891,01011000110
institute,892,01011000010
intact,893,01011000011
integral,894,01011000001
integrated,895,01011000000
integration,896,01001000000
integrity,897,01001000001
intelligently,898,01001000011
intended,899,01001000010
interact,900,01001000110
interacting,901,01001000111
interaction,902,01001000101
interactions,903,01001000100
interacts,904,01001001100
interchange,905,01001001101
interconnect,906,01001001111
interconnects,907,01001001110
interest,908,01001001010
interested,909,01001001011
interesting,910,01001001001
interface,911,01001001000
interfaces,912,01001011000
interfacing,913,01001011001
internal,914,01001011011
internally,915,01001011010
internals,916,01001011110
international,917,01001011111
internet,918,01001011101
interrupted,919,01001011100
interruption,920,01001010100
interruptions,921,01001010101
intervention,922,01001010111
inthen,923,01001010110
introduces,924,01001010010
intuitive,925,01001010011
invalid,926,01001010001
invalids,927,01001010000
investigation,928,01001110000
invoke,929,01001110001
involve,930,01001110011
involved,931,01001110010
involving,932,01001110110
io,933,01001110111
ip,934,01001110101
irrelevant,935,01001110100
ision,936,01001111100
isla,937,01001111101
iso,938,01001111111
isolated,939,01001111110
issue,940,01001111010
issuedreturned,941,01001111011
issues,942,01001111001
item,943,01001111000
items,944,01001101000
jakim,945,01001101001
java,946,01001101011
javascript,947,01001101010
joining,948,01001101110
jqueryajax,949,01001101111
js,950,01001101101
json,951,01001101100
ked,952,01001100100
keep,953,01001100101
keeping,954,01001100111
key,955,01001100110
keyboard,956,01001100010
keys,957,01001100011
keywords,958,01001100001
kill,959,01001100000
king,960,01000100000
know,961,01000100001
knowledge,962,01000100011
knowledgepark,963,01000100010
label,964,01000100110
labelled,965,01000100111
labels,966,01000100101
lag,967,01000100100
landing,968,01000101100
landk,969,01000101101
language,970,01000101111
laptop,971,01000101110
laptops,972,01000101010
large,973,01000101011
larger,974,01000101001
latency,975,01000101000
later,976,01000111000
latest,977,01000111001
layout,978,01000111011
ldap,979,01000111010
lead,980,01000111110
leading,981,01000111111
learn,982,01000111101
least,983,01000111100
leaving,984,01000110100
legal,985,01000110101
legibility,986,01000110111
leisure,987,01000110110
lending,988,01000110010
length,989,01000110011
lengths,990,01000110001
less,991,01000110000
lessen,992,01000010000
level,993,01000010001
levels,994,01000010011
librarian,995,01000010010
librarians,996,01000010110
library,997,01000010111
life,998,01000010101
like,999,01000010100
likely,1000,01000011100
limit,1001,01000011101
limited,1002,01000011111
line,1003,01000011110
link,1004,01000011010
linking,1005,01000011011
links,1006,01000011001
list,1007,01000011000
listed,1008,01000001000
listing,1009,01000001001
listings,1010,01000001011
lists,1011,01000001010
little,1012,01000001110
live,1013,01000001111
localization,1014,01000001101
located,1015,01000001100
location,1016,01000000100
locations,1017,01000000101
log,1018,01000000111
logged,1019,01000000110
logic,1020,01000000010
logical,1021,01000000011
login,1022,01000000001
logo,1023,01000000000
logobarcode,1024,11000000000
long,1025,11000000001
longer,1026,11000000011
look,1027,11000000010
looking,1028,11000000110
loss,1029,11000000111
lost,1030,11000000101
lot,1031,11000000100
lowbandwidth,1032,11000001100
lower,1033,11000001101
macbook,1034,11000001111
made,1035,11000001110
main,1036,11000001010
mainly,1037,11000001011
maintain,1038,11000001001
maintainability,1039,11000001000
maintained,1040,11000011000
maintaining,1041,11000011001
maintains,1042,11000011011
maintenance,1043,11000011010
make,1044,11000011110
makes,1045,11000011111
making,1046,11000011101
malls,1047,11000011100
man,1048,11000010100
manage,1049,11000010101
manageable,1050,11000010111
managed,1051,11000010110
management,1052,11000010010
manipulating,1053,11000010011
manipulation,1054,11000010001
manner,1055,11000010000
mannerg,1056,11000110000
manual,1057,11000110001
manufacture,1058,11000110011
many,1059,11000110010
map,1060,11000110110
maps,1061,11000110111
marking,1062,11000110101
match,1063,11000110100
material,1064,11000111100
matter,1065,11000111101
matters,1066,11000111111
maximum,1067,11000111110
mbytessec,1068,11000111010
mc,1069,11000111011
mean,1070,11000111001
meaningful,1071,11000111000
means,1072,11000101000
measurement,1073,11000101001
mechanism,1074,11000101011
mechanisms,1075,11000101010
media,1076,11000101110
mediastream,1077,11000101111
medium,1078,11000101101
meet,1079,11000101100
meeting,1080,11000100100
meetings,1081,11000100101
member,1082,11000100111
members,1083,11000100110
memory,1084,11000100010
mental,1085,11000100011
mentioned,1086,11000100001
menu,1087,11000100000
menus,1088,11001100000
message,1089,11001100001
messagedata,1090,11001100011
messages,1091,11001100010
meta,1092,11001100110
metadata,1093,11001100111
method,1094,11001100101
methods,1095,11001100100
metro,1096,11001101100
microphone,1097,11001101101
middle,1098,11001101111
might,1099,11001101110
migration,1100,11001101010
mind,1101,11001101011
minimal,1102,11001101001
minimization,1103,11001101000
minimize,1104,11001111000
minimized,1105,11001111001
minimizing,1106,11001111011
minimum,1107,11001111010
missing,1108,11001111110
mitigation,1109,11001111111
mobile,1110,11001111101
mockup,1111,11001111100
mode,1112,11001110100
models,1113,11001110101
modern,1114,11001110111
modified,1115,11001110110
modify,1116,11001110010
module,1117,11001110011
modules,1118,11001110001
modus,1119,11001110000
monitor,1120,11001010000
monitored,1121,11001010001
monitoring,1122,11001010011
month,1123,11001010010
monthly,1124,11001010110
months,1125,11001010111
morally,1126,11001010101
moreover,1127,11001010100
move,1128,11001011100
mozilla,1129,11001011101
much,1130,11001011111
multimedia,1131,11001011110
multipart,1132,11001011010
multiple,1133,11001011011
mus,1134,11001011001
must,1135,11001011000
mysql,1136,11001001000
na,1137,11001001001
name,1138,11001001011
nameprize,1139,11001001010
names,1140,11001001110
nans,1141,11001001111
narrow,1142,11001001101
national,1143,11001001100
native,1144,11001000100
nave,1145,11001000101
navigating,1146,11001000111
navigation,1147,11001000110
near,1148,11001000010
necessarily,1149,11001000011
necessary,1150,11001000001
need,1151,11001000000
needed,1152,11011000000
needs,1153,11011000001
negative,1154,11011000011
negotiation,1155,11011000010
neither,1156,11011000110
network,1157,11011000111
networks,1158,11011000101
never,1159,11011000100
new,1160,11011001100
newer,1161,11011001101
next,1162,11011001111
noise,1163,11011001110
non,1164,11011001010
none,1165,11011001011
nonexpected,1166,11011001001
nonexperts,1167,11011001000
nonfunctional,1168,11011011000
nonfunctioning,1169,11011011001
nonhalal,1170,11011011011
nonprivileged,1171,11011011010
nontext,1172,11011011110
normal,1173,11011011111
normalization,1174,11011011101
normalizations,1175,11011011100
normally,1176,11011010100
note,1177,11011010101
notes,1178,11011010111
notified,1179,11011010110
notify,1180,11011010010
number,1181,11011010011
numbers,1182,11011010001
objects,1183,11011010000
observational,1184,11011110000
observed,1185,11011110001
observing,1186,11011110011
obtained,1187,11011110010
occur,1188,11011110110
occurred,1189,11011110111
occurs,1190,11011110101
odingtranscoding,1191,11011110100
offered,1192,11011111100
offering,1193,11011111101
offers,1194,11011111111
office,1195,11011111110
officers,1196,11011111010
offline,1197,11011111011
offload,1198,11011111001
older,1199,11011111000
one,1200,11011101000
online,1201,11011101001
onscreen,1202,11011101011
open,1203,11011101010
opened,1204,11011101110
opening,1205,11011101111
operable,1206,11011101101
operandi,1207,11011101100
operate,1208,11011100100
operates,1209,11011100101
operating,1210,11011100111
operation,1211,11011100110
operational,1212,11011100010
operations,1213,11011100011
opposed,1214,11011100001
option,1215,11011100000
optional,1216,11010100000
optionally,1217,11010100001
options,1218,11010100011
order,1219,11010100010
ordered,1220,11010100110
organised,1221,11010100111
organizing,1222,11010100101
orientation,1223,11010100100
oriented,1224,11010101100
originates,1225,11010101101
os,1226,11010101111
outage,1227,11010101110
output,1228,11010101010
outside,1229,11010101011
overall,1230,11010101001
overflow,1231,11010101000
overflows,1232,11010111000
overlay,1233,11010111001
overload,1234,11010111011
overview,1235,11010111010
overviews,1236,11010111110
owner,1237,11010111111
owners,1238,11010111101
package,1239,11010111100
packets,1240,11010110100
page,1241,11010110101
pages,1242,11010110111
panel,1243,11010110110
paper,1244,11010110010
paperwork,1245,11010110011
parameter,1246,11010110001
parameters,1247,11010110000
parks,1248,11010010000
part,1249,11010010001
partial,1250,11010010011
participant,1251,11010010010
participants,1252,11010010110
particular,1253,11010010111
particularly,1254,11010010101
parties,1255,11010010100
parts,1256,11010011100
party,1257,11010011101
passed,1258,11010011111
password,1259,11010011110
passwords,1260,11010011010
past,1261,11010011011
paths,1262,11010011001
patterns,1263,11010011000
peak,1264,11010001000
peer,1265,11010001001
peers,1266,11010001011
peertopeer,1267,11010001010
pending,1268,11010001110
people,1269,11010001111
peoples,1270,11010001101
per,1271,11010001100
perceiving,1272,11010000100
perception,1273,11010000101
perform,1274,11010000111
performance,1275,11010000110
performed,1276,11010000010
performing,1277,11010000011
performs,1278,11010000001
period,1279,11010000000
periodically,1280,11110000000
periods,1281,11110000001
perlldap,1282,11110000011
permission,1283,11110000010
persistent,1284,11110000110
person,1285,11110000111
personal,1286,11110000101
personallyidentifiable,1287,11110000100
personnel,1288,11110001100
peruser,1289,11110001101
phone,1290,11110001111
phrases,1291,11110001110
physical,1292,11110001010
pids,1293,11110001011
piece,1294,11110001001
pillai,1295,11110001000
piped,1296,11110011000
pipeline,1297,11110011001
place,1298,11110011011
placed,1299,11110011010
places,1300,11110011110
placing,1301,11110011111
plain,1302,11110011101
plaintext,1303,11110011100
plan,1304,11110010100
planned,1305,11110010101
planning,1306,11110010111
platform,1307,11110010110
platforms,1308,11110010010
