X_text,X_emb,y_text,y_emb
transfer,10010010011,shall,10101110100
shall,10101110100,take,10110011100
take,10110011100,place,11110011011
place,11110011011,manner,11000010000
manner,11000010000,data,00101100011
data,00101100011,needed,11011000000
needed,11011000000,perform,11010000111
perform,11010000111,fourier,01110101111
fourier,01110101111,transform,10010010000
transform,10010010000,showsup,10101010010
showsup,10101010010,single,10101011000
single,10101011000,processor,11111110000
processor,11111110000,backend,00011100100
backend,00011100100,tofrom,10010001001
tofrom,10010001001,monitor,11001010000
monitor,11001010000,control,00101000111
control,00101000111,interface,01001001000
shall,10101110100,receive,11101110100
receive,11101110100,via,10011000010
via,10011000010,mc,11000111011
mc,11000111011,state,10111110110
state,10111110110,count,00101010111
count,00101010111,data,00101100011
data,00101100011,produced,11111010011
produced,11111010011,correlator,00101011111
correlator,00101011111,data,00101100011
data,00101100011,valid,10011011011
valid,10011011011,counts,00101010010
counts,00101010010,quantizer,11101000100
quantizer,11101000100,power,11110101010
power,11110101010,measurement,11000101001
measurement,11000101001,data,00101100011
data,00101100011,filter,01111110010
filter,01111110010,parameters,11010110000
parameters,11010110000,frequency,01110111010
frequency,01110111010,shift,10101110110
shift,10101110110,parameters,11010110000
parameters,11010110000,windowing,10001110111
windowing,10001110111,parameters,11010110000
parameters,11010110000,observational,11011110000
observational,11011110000,mode,11001110100
mode,11001110100,shall,10101110100
shall,10101110100,receive,11101110100
receive,11101110100,via,10011000010
via,10011000010,mc,11000111011
mc,11000111011,data,00101100011
data,00101100011,parameters,11010110000
parameters,11010110000,specific,10111001100
specific,10111001100,current,00101111000
current,00101111000,evla,01101011000
evla,01101011000,observational,11011110000
observational,11011110000,mode,11001110100
mode,11001110100,needed,11011000000
needed,11011000000,processing,11111110001
processing,11111110001,correlator,00101011111
correlator,00101011111,lag,01000100100
lag,01000100100,values,10011001011
values,10011001011,metadata,11001100111
metadata,11001100111,shall,10101110100
shall,10101110100,receive,11101110100
receive,11101110100,via,10011000010
via,10011000010,mc,11000111011
mc,11000111011,metadata,11001100111
metadata,11001100111,necessary,11001000001
necessary,11001000001,format,01110100000
format,01110100000,results,10100000000
results,10100000000,delivery,00100111111
delivery,00100111111,ee,01100101010
ee,01100101010,operational,11011100010
operational,11011100010,status,10111111110
includes,01011111111,lag,01000100100
